480,cwensel/cascading
2059,jdbi/jdbi
2073,caelum/caelum-stella
3043,qos-ch/logback
3045,qos-ch/slf4j
3619,apache/shiro
3620,haraldk/twelvemonkeys
3627,twilio/twilio-java
4168,erlang/erlide_eclipse
6153,elastic/elasticsearch
6154,antlr/antlr4
6311,citrusframework/citrus
8116,aws/aws-sdk-java
8750,flyingsaucerproject/flyingsaucer
8754,bndtools/bnd
9561,cdk/cdk
10345,graylog2/graylog2-server
10347,apache/jmeter
10353,apache/mina-sshd
11752,sevntu-checkstyle/sevntu.checkstyle
12325,atmosphere/atmosphere
14409,nysenate/openlegislation
15188,robolectric/robolectric
16087,arduino/arduino
16089,rabbitmq/rabbitmq-java-client
16090,dcm4che/dcm4che
16097,ops4j/org.ops4j.pax.web
16941,enginehub/worldedit
16948,geowebcache/geowebcache
19037,rest-assured/rest-assured
20129,netty/netty
20130,plantuml/plantuml
20131,infinispan/infinispan
20139,jpos/jpos
20713,spring-projects/spring-data-jpa
20714,spring-projects/spring-batch
20715,spring-projects/spring-amqp
20716,spring-projects/spring-data-commons
21368,enginehub/worldguard
22628,spring-projects/spring-framework
22629,rstudio/rstudio
22632,validator/validator
23230,spockframework/spock
24272,webbukkit/dynmap
24275,asterisk-java/asterisk-java
25262,wicketstuff/core
26339,osmandapp/osmand
28254,jnr/jnr-ffi
28258,structr/structr
29964,enginehub/commandhelper
31824,movingblocks/terasology
32818,asynchttpclient/async-http-client
35682,archimatetool/archi
37290,apache/bookkeeper
37292,arquillian/arquillian-core
38383,kong/unirest-java
39046,jpos/jpos-ee
41021,java-native-access/jna
41964,stoicflame/enunciate
43630,jodaorg/joda-time
43632,cometd/cometd
44229,zkoss/zk
47823,nutzam/nutz
47826,onebusaway/onebusaway-android
49010,eclipse-vertx/vert.x
50227,jsqlparser/jsqlparser
50228,google/truth
50235,liferay/liferay-ide
51561,alkacon/opencms-core
52188,spring-projects/spring-data-redis
53202,liquibase/liquibase
53750,cgeo/cgeo
54311,eclipse-cdt/cdt
54944,opentripplanner/opentripplanner
56139,spring-projects/spring-integration
56141,fluentlenium/fluentlenium
57469,querydsl/querydsl
57972,stripe/stripe-java
57979,spring-projects/spring-data-cassandra
64959,restfb/restfb
66892,opensagres/xdocreport
66893,carrot2/carrot2
66894,cloudfoundry/cf-java-client
68378,spring-projects/spring-data-neo4j
69179,yamcs/yamcs
69949,sleuthkit/autopsy
69952,ome/bioformats
70690,apache/accumulo
72070,zxing/zxing
72078,spring-projects/spring-data-mongodb
72085,openstreetmap/osmosis
74674,gephi/gephi
74678,internetarchive/heritrix3
76757,javaparser/javaparser
76764,thargor6/jwildfire
77381,alibaba/druid
77382,chocoteam/choco-solver
78261,sloeber/arduino-eclipse-plugin
79031,mapfish/mapfish-print
85572,axonframework/axonframework
86302,azure/azure-sdk-for-java
87201,broadleafcommerce/broadleafcommerce
88770,restlet/restlet-framework-java
88922,imglib/imglib2
90561,fasterxml/jackson-core
90562,marytts/marytts
91888,spring-projects/spring-webflow
93764,mcmmo-dev/mcmmo
95418,spring-projects/spring-security
101006,minecraftforge/minecraftforge
101964,knowm/xchange
103871,pgjdbc/pgjdbc
104435,cloudfoundry/uaa
105104,oshi/oshi
105127,igvteam/igv
106153,onebusaway/onebusaway-application-modules
106156,onebusaway/onebusaway-gtfs-modules
107174,spring-projects/spring-shell
108285,graphhopper/graphhopper
108289,nroduit/weasis
